"Town Name, State",Town Name,State,Longitude,Latitude,Coastal,Inland,Urban,Remote,Year Settled,Year Settled,Year Abandoned,Duration (years),Commodities,Mine Size,Mine Type,Mineral Distribution,Town Area (acres),Peak Population
"Chemung Mine, California",Chemung Mine,California,-119.149954,38.350104,,,,,1909,1909,1938,29,,29,,,,
"Cherokee, California",Cherokee,California,-121.550751,39.653412,,,,,,,,0,,,,,,
"Chinese Camp, California",Chinese Camp,California,-120.431392,37.870073,,,,,,,,0,,,,,,
"Chloride City, California",Chloride City,California,-116.881340,36.703178,,,,,,,,0,,,,,,
"Coloma, California",Coloma,California,-120.894722,38.8025,,,,,1847,1847,1852,5,,5,,,,
"Coloma, California",Coloma,California,-120.889778,38.799541,,,,,,,,0,,,,,,
"Darwin, California",Darwin,California,-117.592824,36.26893,,,,,,,,0,,,,,,
"Denny, California",Denny,California,-123.398178,40.92981,,,,,,,,0,,,,,,
"Dogtown, California",Dogtown,California,-121.087959,38.213169,,,,,,,,0,,,,,,
"Downieville, California",Downieville,California,-120.826891,39.5593405,,,,,,,,0,,,,,,
"Drawbridge, California",Drawbridge,California,-121.968521,37.46841,,,,,,,,0,,,,,,
"Drytown, California",Drytown,California,-120.855014,38.440885,,,,,,,,0,,,,,,
"Eagle Mountain, California",Eagle Mountain,California,-115.479172,33.852139,,,,,,,,0,,,,,,
"Essex, California",Essex,California,-115.254053,34.742306,,,,,,,,0,,,,,,
"Forest City, California",Forest City,California,-122.458135,37.7566473,,,,,,,,0,,,,,,
"Freeman Junction, California",Freeman Junction,California,-117.903236,35.601212,,,,,,,,0,,,,,,
"French Gulch, California",French Gulch,California,-122.631169,40.7165449829936,,,,,,,,0,,,,,,
"Garlock, California",Garlock,California,-117.790064,35.4024608,,,,,,,,0,,,,,,
"Garlock, California",Garlock,California,-117.794060,35.391891,,,,,,,,0,,,,,,
"Gibsonville, California",Gibsonville,California,-120.915001,39.73893,,,,,,,,0,,,,,,
"Goffs, California",Goffs,California,-115.064430,34.91975,,,,,,,,0,,,,,,
"Goler Heights, California",Goler Heights,California,-117.655251,35.375641,,,,,,,,0,,,,,,
"Greenwater, California",Greenwater,California,-116.708794,36.363251,,,,,,,,0,,,,,,
"Hamilton, California",Hamilton,California,-84.421547,39.066139,,,,,,,,0,,,,,,
"Hart, California",Hart,California,-122.439697,40.6647,,,,,,,,0,,,,,,
"Helena, California",Helena,California,-123.128365,40.7734757,,,,,,,,0,,,,,,
"Holy City, California",Holy City,California,-121.976219,37.152081,,,,,,,,0,,,,,,
"Hornitos, California",Hornitos,California,-120.238241,37.5021592,,,,,,,,0,,,,,,
"Ivanpah, California",Ivanpah,California,-115.309540,35.340229,,,,,,,,0,,,,,,
"Keeler, California",Keeler,California,-117.866791,36.486382,,,,,,,,0,,,,,,
"Kelso, California",Kelso,California,-115.652443,35.01265,,,,,,,,0,,,,,,
"Leadfield, California",Leadfield,California,-117.060471,36.849892,,,,,,,,0,,,,,,
"Lexington, California",Lexington,California,-121.992607,37.19672,,,,,,,,0,,,,,,
"Llano Del Rio, California",Llano Del Rio,California,-83.022243,35.922083,,,,,1915,1918,,-1918,,-1918,,,,
"Lookout City, California",Lookout City,California,-117.433899,36.2458,,,,,,,,0,,,,,,
"Ludlow, California",Ludlow,California,-116.409271,34.781652,,,,,,,,0,,,,,,
"Mammoth City, California",Mammoth City,California,-117.258469,33.695345,,,,,,,,0,,,,,,
"Manchester, California",Manchester,California,-123.686939,38.96955,,,,,,,,0,,,,,,
"Masonic, California",Masonic,California,-120.152490,38.785724,,,,,,,,0,,,,,,
"Midland, California",Midland,California,-114.793091,33.862259,,,,,,,,0,,,,,,
"Mokelumne Hill, California",Mokelumne Hill,California,-120.706116,38.3056422433918,,,,,,,,0,,,,,,
"Mount Ophir, California",Mount Ophir,California,-121.125441,38.879456,,,,,,,,0,,,,,,
"New Almaden, California",New Almaden,California,-121.822853,37.191589,,,,,,,,0,,,,,,
"New Idria, California",New Idria,California,-120.968002,36.490398,,,,,,,,0,,,,,,
"North Shore, California",North Shore,California,-115.935417,33.521221,,,,,,,,0,,,,,,
"Nortonville, California",Nortonville,California,-121.862968,37.95924,,,,,,,,0,,,,,,
"Panamint City, California",Panamint City,California,-117.088753,36.12104,,,,,,,,0,,,,,,
"Picacho, California",Picacho,California,-114.614662,33.021069,,,,,,,,0,,,,,,
"Port Chicago, California",Port Chicago,California,-122.030258,38.0261,,,,,,,,0,,,,,,
"Providence, California",Providence,California,-121.036400,39.2589,,,,,,,,0,,,,,,
"Ragtown, California",Ragtown,California,-116.151955,34.6649904,,,,,,,,0,,,,,,
"Randsburg, California",Randsburg,California,-117.654009,35.368053,,,,,,,,0,,,,,,
"Red Mountain, California",Red Mountain,California,-117.618753,35.354194,,,,,,,,0,,,,,,
"Rice, California",Rice,California,-114.813248,34.079632,,,,,,,,0,,,,,,
"Seneca, California",Seneca,California,-121.082237,40.116451,,,,,,,,0,,,,,,
"Shasta, California",Shasta,California,-121.515151,40.0615486,,,,,,,,0,,,,,,
"Siberia, California",Siberia,California,-115.984413,34.624481,,,,,,,,0,,,,,,
"Silver Lake, California",Silver Lake,California,-118.269119,34.089981,,,,,,,,0,,,,,,
"Skidoo, California",Skidoo,California,-117.150688,36.385529,,,,,,,,0,,,,,,
"Stedman, California",Stedman,California,-116.168066,34.6299911,,,,,,,,0,,,,,,
"Swansea, California",Swansea,California,-117.903801,36.523258,,,,,,,,0,,,,,,
"Timbuctoo, California",Timbuctoo,California,-121.326073,39.218029,,,,,,,,0,,,,,,
"Vanderbilt, California",Vanderbilt,California,-115.251259,35.331268,,,,,,,,0,,,,,,
"Wingo, California",Wingo,California,-122.425529,38.20475,,,,,,,,0,,,,,,
